City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lebu,-37.6167,-73.65,55.06,84,100,22.75,CL,1684803238
83,boende,-0.2167,20.8667,71.02,99,85,2.82,CD,1684803238
84,college,64.8569,-147.8028,60.58,59,75,4.61,US,1684803239
85,ilebo,-4.3167,20.5833,69.13,97,100,0.94,CD,1684803240
86,udachny,66.4167,112.4,37.45,59,66,6.91,RU,1684802979
87,tiksi,71.6872,128.8694,25.68,79,24,5.1,RU,1684803240
88,lagunas,-5.2269,-75.6753,77.34,90,100,2.42,PE,1684803241
89,arauco,-37.2463,-73.3175,54.54,88,100,14.81,CL,1684803241
90,alaghsas,17.0187,8.0168,91.44,13,100,6.06,NE,1684803242
91,salinas,36.6777,-121.6555,71.01,70,0,14.97,US,1684803078
92,port mathurin,-19.6833,63.4167,76.53,74,5,8.86,MU,1684803243
93,dolisie,-4.1997,12.6739,70.99,95,100,3.31,CG,1684803243
94,bandarbeyla,9.4942,50.8122,80.51,86,10,8.39,SO,1684803244
95,hasaki,35.7333,140.8333,58.21,87,100,15.14,JP,1684803244
96,mineiros,-17.5694,-52.5511,66.47,60,100,2.64,BR,1684803245
97,torghay,49.6339,63.4981,57.45,47,4,9.13,KZ,1684803245
98,atvidaberg,58.2015,15.9977,56.59,65,47,5.14,SE,1684803246
99,boa vista,2.8197,-60.6733,82.38,78,40,2.3,BR,1684803246
100,caleta de carquin,-11.0925,-77.6267,70.52,81,81,10.98,PE,1684803246
101,salaqi,40.5414,110.5108,64.45,22,100,9.1,CN,1684803247
102,afaahiti,-17.75,-149.2833,84.07,79,3,18.84,PF,1684803248
103,haiku-pauwela,20.9219,-156.3051,82.42,61,40,21.85,US,1684803248
104,kiffa,16.6166,-11.4045,92.64,17,9,9.71,MR,1684803249
105,at taj,24.2049,23.2857,76.5,22,17,8.34,LY,1684803249
106,taungdwingyi,20.0167,95.55,86.18,56,6,9.17,MM,1684803250
107,putina,-15.4667,-69.4333,42.71,75,98,10.54,PE,1684803250
108,keflavik,64.0049,-22.5624,46.31,100,100,21.85,IS,1684803251
109,iqaluit,63.7506,-68.5145,19.13,63,100,4.61,CA,1684803251
110,nanao,37.05,136.9667,64.31,75,98,3.09,JP,1684803252
111,linqiong,30.4159,103.4609,66.02,68,6,3.56,CN,1684803252
112,walvis bay,-22.9575,14.5053,54.09,100,0,9.22,NA,1684803253
113,sao jose da coroa grande,-8.8978,-35.1478,77.07,89,70,10.09,BR,1684803253
114,ust'-ilimsk,58.0006,102.6619,50.47,51,100,6.17,RU,1684803253
115,iskateley,67.6803,53.1512,49.95,74,62,8.23,RU,1684803254
116,wailua homesteads,22.0669,-159.378,81.03,75,20,16.11,US,1684803254
117,arkhangel'sk,64.5401,40.5433,54.32,53,99,4.25,RU,1684803255
118,colares,38.7992,-9.4469,65.95,76,99,15.99,PT,1684803255
119,port lincoln,-34.7333,135.8667,61.09,61,33,12.66,AU,1684803255
120,tolanaro,-25.0319,46.9987,69.87,83,40,4.61,MG,1684803256
121,kralendijk,12.15,-68.2667,82.38,83,0,11.5,BQ,1684803256
122,santa terezinha,-29.9002,-50.0904,65.39,83,5,6.04,BR,1684803257
123,luanco,43.6152,-5.7934,60.03,94,87,3.49,ES,1684803257
124,pamandzi,-12.7967,45.2794,78.58,83,0,6.91,YT,1684803258
125,fort st. john,56.2499,-120.8529,46.29,100,100,14.97,CA,1684803258
126,novyy buh,47.6931,32.5216,55.15,86,52,8.34,UA,1684803259
127,carutapera,-1.195,-46.02,77.97,92,12,6.69,BR,1684803259
128,petropavlovsk-kamchatsky,53.0452,158.6483,34.39,100,100,4.47,RU,1684803260
129,thompson,55.7435,-97.8558,44.76,81,100,19.57,CA,1684803260
